mine_name,district,latitude,longitude,opening_year,closing_year
Hannover Coal Mine,Hordel Guennigfeld,51.50444,7.16500,1857,1973
Constantin der Grosse Coal Mine,Bochum,51.50111,7.21278,1850,1973
Hannibal Coal Mine,Hofstede,51.50664,7.19248,1848,1973
Utd. Engelsburg Coal Mine,Eppendorf,51.47252,7.18331,1829,1961
General Coal Mine,Dahlhausen,51.42810,7.14632,1895,1928
Hasenwinkel Coal Mine,Dahlhausen,51.43528,7.16194,1854,1926
Friederica Coal Mine,Bochum,51.46806,7.22667,1869,1907
Lothringen Coal Mine,Gerthe Hiltrop,51.51861,7.28268,1872,1967
Dannenbaum Coal Mine,Laer,51.46778,7.26667,1859,1960
Neu-Iserlohn Coal Mine,Langendreer,51.49147,7.34327,1856,1968
Heinrich Gustav Coal Mine,Werne,51.49036,7.29750,1855,1929
Mansfeld Coal Mine,Langendreer,51.47467,7.29851,1875,1963
Holland Coal Mine,Wattenscheid,51.48361,7.12639,1856,1974
